Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-04-28T19:11:28.022848Z,AMD,BUY - LIMIT,4,USD 84.50,USD 338,USD,1.2119
2021-05-01T02:51:42.295809Z,,CUSTODY FEE,,,USD -0.53,USD,1.2142
2021-05-06T13:37:04.976343Z,IBM,SELL - MARKET,4,USD 145.50,USD 580.79,USD,1.2064
2021-05-06T13:37:43.498201Z,GME,BUY - MARKET,3.5,USD 159.80,USD 560.50,USD,1.2066
2021-05-12T16:32:18.013258Z,,CASH TOP-UP,,,USD 800,USD,1.2075
2021-05-12T18:11:22.946433Z,SPCE,BUY - LIMIT,12,USD 16.20,USD 195.60,USD,1.2079
2021-05-13T18:12:08.285208Z,GME,SELL - MARKET,3.5,USD 164.44,USD 574.33,USD,1.2071
2021-05-13T18:14:56.247977Z,IBM,BUY - MARKET,4,USD 144.48,USD 579.12,USD,1.2074
2021-05-21T15:31:17.184574Z,AMD,BUY - MARKET,3,USD 77.27,USD 233.02,USD,1.2189
2021-05-24T19:25:58.409114Z,INTC,BUY - MARKET,6,USD 57.14,USD 344.09,USD,1.2218
2021-06-01T12:16:01.170507Z,,CUSTODY FEE,,,USD -0.73,USD,1.2225
2021-06-03T15:14:03.389361Z,SPCE,SELL - MARKET,12,USD 33.49,USD 401.88,USD,1.2132
2021-06-04T15:53:57.529953Z,,CASH TOP-UP,,,USD 1300,USD,1.2170
2021-06-04T15:54:30.295045Z,RKLB,BUY - MARKET,128,USD 10.21,USD 1307.96,USD,1.2170
2021-06-07T04:46:14.116974Z,PFE,DIVIDEND,,,USD 4.97,USD,1.2171
2021-06-10T13:30:52.353897Z,WKHS,BUY - MARKET,22.89156626,USD 16.60,USD 381.21,USD,1.2151
2021-06-11T04:31:00.036275Z,MSFT,DIVIDEND,,,USD 0.95,USD,1.2192
2021-06-16T13:35:22.624564Z,RBLX,SELL - STOP,10,USD 80.86,USD 807.39,USD,1.2117
2021-06-28T13:52:44.903743Z,RKLB,BUY - MARKET,75,USD 10.75,USD 806.18,USD,1.1919
2021-07-01T12:59:57.883420Z,,CUSTODY FEE,,,USD -1.01,USD,1.1881
2021-07-02T04:51:48.684380Z,NVDA,DIVIDEND,,,USD 0.14,USD,1.1850
2021-07-12T14:03:26.232262Z,SPCE,SELL - MARKET,41,USD 42.48,USD 1740.34,USD,1.1868
2021-07-20T10:35:17.286954Z,NVDA,STOCK SPLIT,3,,USD 0,USD,1.1790
2021-07-22T13:55:41.729270Z,WKHS,BUY - MARKET,22.10843374,USD 11.44,USD 254.10,USD,1.1820
2021-07-22T15:09:54.617405Z,SPCE,BUY - MARKET,41,USD 31.25,USD 1282.42,USD,1.1788
2021-07-30T12:44:45.124985Z,,CASH TOP-UP,,,USD 89.20,USD,1.1891
2021-07-30T13:32:39.912895Z,HYZN,BUY - MARKET,53,USD 6.86,USD 363.53,USD,1.1879
2021-08-01T09:45:52.841768Z,,CUSTODY FEE,,,USD -0.92,USD,1.1999
2021-08-03T19:24:12.224922Z,AMD,SELL - MARKET,1,USD 112.99,USD 111.80,USD,1.1869
2021-08-03T19:24:29.046114Z,NVDA,SELL - MARKET,1,USD 197.45,USD 196.26,USD,1.1868
2021-08-03T19:25:03.537209Z,EDU,BUY - MARKET,133,USD 2.28,USD 304.37,USD,1.1868
2021-08-20T18:37:51.782102Z,HYZN,SELL - MARKET,53,USD 8.39,USD 443.55,USD,1.1698
2021-08-23T13:56:29.117235Z,MNTS,BUY - MARKET,45,USD 8.88,USD 400.77,USD,1.1734
2021-08-26T15:46:19.744723Z,,CASH TOP-UP,,,USD 360,USD,1.1763
2021-08-26T15:46:39.596816Z,JD,BUY - MARKET,5,USD 76.62,USD 383.10,USD,1.1763
2021-09-02T05:02:28.198472Z,INTC,DIVIDEND,,,USD 1.78,USD,1.1838
2021-09-02T10:49:41.145311Z,,CUSTODY FEE,,,USD -0.96,USD,1.1852
2021-09-02T19:42:28.362041Z,RKLB,SELL - MARKET,100,USD 11.62,USD 1159.07,USD,1.1877
2021-09-07T15:22:49.138778Z,SPCE,BUY - MARKET,19,USD 24.21,USD 461.16,USD,1.1845
2021-09-08T04:44:35.623248Z,PFE,DIVIDEND,,,USD 4.97,USD,1.1846
2021-09-09T13:45:08.410467Z,WKHS,BUY - LIMIT,45,USD 8.71,USD 393.13,USD,1.1825
2021-09-10T04:29:20.780518Z,MSFT,DIVIDEND,,,USD 0.95,USD,1.1832
2021-09-10T13:30:33.157187Z,HYZN,BUY - LIMIT,30,USD 10.80,USD 325.18,USD,1.1827
2021-09-13T04:48:30.792362Z,IBM,DIVIDEND,,,USD 5.58,USD,1.1800
2021-09-24T05:23:27.674599Z,NVDA,DIVIDEND,,,USD 0.10,USD,1.1742
2021-10-01T08:48:22.212991Z,,CUSTODY FEE,,,USD -0.98,USD,1.1581
2021-11-03T03:54:29.512753Z,,CUSTODY FEE,,,USD -0.96,USD,1.1586
2021-12-02T05:35:26.963348Z,INTC,DIVIDEND,,,USD 1.78,USD,1.1321
2021-12-02T12:53:16.731616Z,,CUSTODY FEE,,,USD -0.96,USD,1.1345
2021-12-08T07:32:14.039814Z,PFE,DIVIDEND,,,USD 4.97,USD,1.1291
2021-12-10T09:44:48.819244Z,MSFT,DIVIDEND,,,USD 1.05,USD,1.1284
2021-12-13T05:34:47.293416Z,IBM,DIVIDEND,,,USD 5.58,USD,1.1301
2021-12-27T05:38:23.799463Z,NVDA,DIVIDEND,,,USD 0.10,USD,1.1319
2021-12-28T20:47:34.872662Z,WKHS,SELL - MARKET,90,USD 4.76,USD 428.44,USD,1.1312
2022-01-03T14:40:51.929542Z,TSLA,BUY - MARKET,0.40038243,USD 1160.99,USD 466,USD,1.1331
2022-01-04T07:48:11.606142Z,,CUSTODY FEE,,,USD -0.82,USD,1.1286
2022-01-06T07:10:55.677262Z,,CASH TOP-UP,,,USD 0.35,USD,1.1296
2022-01-10T14:30:37.937030Z,HYZN,SELL - MARKET,30,USD 6.51,USD 194.16,USD,1.1293
2022-01-10T14:30:44.944290Z,MNTS,SELL - MARKET,45,USD 4.09,USD 182.91,USD,1.1294
2022-01-12T06:48:52.736992Z,,CASH WITHDRAWAL,,,USD -377,USD,1.1376
2022-01-26T17:23:31.669904Z,,CASH TOP-UP,,,USD 1128,USD,1.1288
2022-01-26T17:24:07.688503Z,NVDA,BUY - MARKET,2,USD 235.01,USD 470.02,USD,1.1288
2022-01-26T17:24:23.385881Z,AMD,BUY - MARKET,2,USD 114.04,USD 229.20,USD,1.1288
2022-01-26T17:25:00.630940Z,RKLB,BUY - MARKET,46,USD 8.78,USD 405,USD,1.1289
2022-02-02T09:07:56.030675Z,,CUSTODY FEE,,,USD -0.80,USD,1.1289
2022-03-02T03:04:07.000209Z,,CUSTODY FEE,,,USD -0.80,USD,1.1132
2022-03-03T06:40:33.093415Z,INTC,DIVIDEND,,,USD 1.86,USD,1.1104
2022-03-07T05:34:49.941409Z,PFE,DIVIDEND,,,USD 5.10,USD,1.0876
2022-03-11T05:31:23.596629Z,IBM,DIVIDEND,,,USD 5.58,USD,1.0997
2022-03-11T06:04:11.909259Z,MSFT,DIVIDEND,,,USD 1.05,USD,1.1003
2022-03-16T14:13:12.808025Z,,CASH TOP-UP,,,USD 112,USD,1.1003
2022-03-16T14:14:06.218346Z,TSLA,BUY - MARKET,0.09961757,USD 828.37,USD 82.52,USD,1.1016
2022-03-25T05:08:14.357247Z,NVDA,DIVIDEND,,,USD 0.17,USD,1.1036
2022-04-02T09:59:28.267953Z,,CUSTODY FEE,,,USD -0.80,USD,1.1051
2022-04-06T07:14:03.736730Z,,CASH TOP-UP,,,USD 545,USD,1.0889
2022-04-06T13:30:31.130444Z,TWTR,BUY - MARKET,10.8,USD 50,USD 540,USD,1.0932
2022-04-08T10:45:20.309806Z,EDU,STOCK SPLIT,-119.7,,USD 0,USD,1.0889
2022-04-26T14:17:19.712073Z,PFE,SELL - MARKET,15,USD 49.75,USD 746.26,USD,1.0674
2022-04-26T14:17:56.116123Z,TWTR,BUY - MARKET,15.2,USD 50.64,USD 771.63,USD,1.0674
2022-05-03T03:09:42.408193Z,,CUSTODY FEE,,,USD -0.73,USD,1.0516
2022-06-02T04:03:37.783798Z,,CUSTODY FEE,,,USD -0.68,USD,1.0656
2022-06-03T04:22:48.497804Z,INTC,DIVIDEND,,,USD 1.86,USD,1.0755
2022-06-10T04:36:57.464947Z,MSFT,DIVIDEND,,,USD 1.05,USD,1.0637
2022-06-13T04:56:11.828426Z,IBM,DIVIDEND,,,USD 5.61,USD,1.0494
2022-06-14T11:05:42.765843Z,,CASH TOP-UP,,,USD 420,USD,1.0441
2022-06-14T13:30:26.097151Z,AMD,BUY - MARKET,1.24582666,USD 87.46,USD 110,USD,1.0450
2022-06-14T13:30:34.284635Z,NVDA,BUY - MARKET,0.69916735,USD 157.33,USD 110,USD,1.0449
2022-06-14T13:31:04.198945Z,IBM,BUY - MARKET,0.80711111,USD 135,USD 110,USD,1.0448
2022-06-14T13:31:26.408309Z,MSFT,BUY - MARKET,0.44716214,USD 243.67,USD 110,USD,1.0447
2022-06-16T04:27:58.771518Z,JD,DIVIDEND,,,USD 6.20,USD,1.0444
2022-07-02T08:53:19.259624Z,,CUSTODY FEE,,,USD -0.65,USD,1.0432
2022-07-07T05:02:59.808586Z,NVDA,DIVIDEND,,,USD 0.17,USD,1.0208
2022-08-02T11:00:00.209541Z,,CUSTODY FEE,,,USD -0.75,USD,1.0230
2022-08-12T18:10:24.980366Z,,CASH TOP-UP,,,USD 86,USD,1.0270
2022-08-12T18:11:33.904960Z,NVDA,BUY - MARKET,0.30083265,USD 185.45,USD 55.79,USD,1.0271
2022-08-25T08:28:28.045504Z,TSLA,STOCK SPLIT,1,,USD 0,USD,0.9999
2022-09-02T06:07:22.299403Z,INTC,DIVIDEND,,,USD 1.86,USD,0.9974
2022-09-02T08:41:34.907992Z,,CUSTODY FEE,,,USD -0.71,USD,0.9982
2022-09-12T04:30:54.253635Z,MSFT,DIVIDEND,,,USD 1.29,USD,1.0085
2022-09-13T05:42:22.459213Z,IBM,DIVIDEND,,,USD 6.74,USD,1.0142
2022-09-30T08:25:45.005098Z,NVDA,DIVIDEND,,,USD 0.20,USD,0.9847
2022-10-04T03:16:34.622928Z,,CUSTODY FEE,,,USD -0.62,USD,0.9839
2022-10-18T12:48:55.032706Z,,CASH TOP-UP,,,USD 118.52,USD,0.9853
2022-10-18T13:33:36.417274Z,IBM,BUY - MARKET,1.49288889,USD 123.49,USD 184.36,USD,0.9879
2022-11-02T05:25:51.206073Z,TWTR,MERGER - STOCK,-26,,USD 0,USD,0.9890
2022-11-02T05:27:50.661409Z,TWTR,MERGER - CASH,,,USD 1409.20,USD,0.9889
2022-11-02T08:12:19.545757Z,,CUSTODY FEE,,,USD -0.68,USD,0.9891
2022-11-04T08:22:17.077524Z,,CASH TOP-UP,,,USD 184,USD,0.9775
2022-11-04T08:28:59.168892Z,,CASH WITHDRAWAL,,,USD -1602.06,USD,0.9775
2022-12-02T05:47:52.300302Z,,CUSTODY FEE,,,USD -0.60,USD,1.0527
2022-12-02T06:30:26.253023Z,INTC,DIVIDEND,,,USD 1.86,USD,1.0536
2022-12-05T15:06:52.307185Z,,CASH TOP-UP,,,USD 790,USD,1.0530
2022-12-05T15:07:38.853005Z,IBM,BUY - MARKET,1.7,USD 148.21,USD 251.96,USD,1.0523
2022-12-05T15:08:05.588352Z,RKLB,BUY - MARKET,100,USD 4.18,USD 418.90,USD,1.0523
2022-12-05T15:18:42.195415Z,SPCE,SELL - MARKET,10,USD 5.14,USD 50.35,USD,1.0533
2022-12-09T07:36:51.882757Z,MSFT,DIVIDEND,,,USD 1.41,USD,1.0584
2022-12-13T07:07:10.674026Z,IBM,DIVIDEND,,,USD 8.84,USD,1.0563
2022-12-14T08:40:12.602790Z,,CUSTODY FEE,,,USD -0.60,USD,1.0640
2022-12-14T17:09:27.327629Z,,CUSTODY FEE REVERSAL,,,USD 0.60,USD,1.0666
2022-12-23T06:26:45.714187Z,NVDA,DIVIDEND,,,USD 0.20,USD,1.0615
2023-01-04T08:25:50.026957Z,,CUSTODY FEE,,,USD -0.59,USD,1.0624
2023-02-01T03:23:11.127950Z,,CUSTODY FEE,,,USD -0.69,USD,1.0863
2023-03-02T06:59:10.851056Z,,CUSTODY FEE,,,USD -0.71,USD,1.0647
2023-03-02T07:46:18.812967Z,INTC,DIVIDEND,,,USD 1.86,USD,1.0638
2023-03-13T04:40:37.598380Z,MSFT,DIVIDEND,,,USD 1.41,USD,1.0736
2023-03-13T04:55:52.937669Z,IBM,DIVIDEND,,,USD 11.22,USD,1.0731
2023-03-14T13:36:08.373Z,EDU,BUY - MARKET,3,USD 37.38,USD 112.14,USD,1.0719
2023-03-30T06:03:04.267245Z,NVDA,DIVIDEND,,,USD 0.20,USD,1.0855
2023-04-04T06:52:48.883964Z,,CUSTODY FEE,,,USD -0.76,USD,1.0911
2023-04-19T15:49:18.597Z,EDU,SELL - LIMIT,3,USD 41,USD 121.91,USD,1.0963
2023-05-02T16:03:44.092538Z,,CUSTODY FEE,,,USD -0.72,USD,1.1010
2023-05-08T04:36:36.312893Z,JD,DIVIDEND,,,USD 3,USD,1.1057
2023-05-17T14:49:57.983989Z,,CASH TOP-UP,,,USD 50,USD,1.0833
2023-05-17T14:50:20.537Z,GOOGL,BUY - MARKET,2,USD 119.18,USD 238.36,USD,1.0830
2023-06-02T05:32:37.868287Z,INTC,DIVIDEND,,,USD 0.64,USD,1.0780
2023-06-02T06:27:28.008432Z,,CUSTODY FEE,,,USD -0.86,USD,1.0788
2023-06-09T05:45:03.309732Z,MSFT,DIVIDEND,,,USD 1.41,USD,1.0795
2023-06-13T04:32:50.058115Z,IBM,DIVIDEND,,,USD 11.29,USD,1.0792
2023-06-29T15:42:13.222972Z,,CASH TOP-UP,,,USD 110,USD,1.0893
2023-06-29T15:42:43.075Z,SPCE,BUY - MARKET,30,USD 4.30,USD 128.96,USD,1.0894
2023-07-03T04:41:23.475987Z,NVDA,DIVIDEND,,,USD 0.20,USD,1.0930
2023-07-04T05:29:24.261122Z,,CUSTODY FEE,,,USD -0.96,USD,1.0907
2023-07-11T13:46:05.853Z,EDU,SELL - LIMIT,13,USD 45,USD 584.98,USD,1.0996
